date,close,high,low,open,volume
2000-01-03,91.36750793457031,93.13439141418168,90.38590600145288,93.13439141418168,8164300
2000-01-04,87.79449462890625,90.50371651146193,87.72578247971099,90.16997178679928,8089800
2000-01-05,87.9515380859375,88.91350803375245,86.22391858782088,87.91227400643486,12177900
2000-01-06,86.53804779052734,88.89389301168507,86.53804779052734,87.7159704011062,6227200
2000-01-07,91.56383514404297,91.56383514404297,87.99080384125226,88.14786016225405,8066500
2000-01-10,91.87791442871094,92.29018712166028,91.11226514180501,91.87791442871094,5741700
2000-01-11,90.778564453125,91.77979861988742,90.1503390935878,91.60311023751758,7503700
2000-01-12,89.87545776367188,90.83742749508733,89.75766555166183,90.83742749508733,6907700
2000-01-13,91.09268951416016,91.5638585978541,90.0129270306949,90.75894474654362,5158300
2000-01-14,92.32949829101562,92.64361097922661,91.70127291459367,92.05464968883102,7437300
2000-01-18,91.60311889648438,92.11355204935806,91.21047800965847,91.30863823136495,6488500
2000-01-19,92.34912872314453,92.34912872314453,91.09267799221739,91.28899841892476,6157900
2000-01-20,90.9356460571289,92.32952146085432,90.34668461893507,92.32952146085432,5800100
2000-01-21,90.73930358886719,91.40679305706742,90.50371907067887,91.40679305706742,6244800
2000-01-24,88.16754913330078,91.62279042643392,87.57858754924399,91.50499810962256,7896900
2000-01-25,89.16873931884766,89.16873931884766,87.32332727658176,88.27548136221895,9942500
2000-01-26,88.46198272705078,88.92333572174357,88.01044575352167,88.57977498101489,5158100
2000-01-27,88.10860443115234,89.34542307624206,86.77362557613489,89.10983857241544,10922700
2000-01-28,85.36013793945312,87.99083216297812,85.14418542856674,87.59819123409379,11916200
2000-01-31,87.67671966552734,87.74543182827462,84.81044087664087,85.32087408562066,10768700
2000-02-01,88.54047393798828,89.01164275717048,87.02880730977871,87.79445664094979,8419900
2000-02-02,88.61903381347656,89.36505137770168,88.18712890787256,88.7564581016233,6205900
2000-02-03,89.95403289794922,89.99329698913121,87.9515642476675,88.50126152421542,7997500
2000-02-04,89.58102416992188,90.46446622287968,89.2865434856026,89.95403303672629,4925400
2000-02-07,89.4435806274414,89.6987971656672,88.85461938538187,89.56137287585331,5845800
2000-02-08,90.66081237792969,90.81786878741939,90.22890725183301,90.44485981488134,4936400
2000-02-09,88.75648498535156,90.75895379059506,88.74666896179644,90.75895379059506,8511500
2000-02-10,88.93315124511719,89.56137659607607,88.50124631633295,88.97241532955212,6690600
2000-02-11,87.12699890136719,89.16873118747404,86.71472603590331,89.10983506383634,9849800
2000-02-14,87.63744354248047,87.81413193671935,86.89142587791635,87.81413193671935,8528800
2000-02-15,88.62886810302734,88.71721230647482,86.56750335591961,87.48039345821017,11078300
2000-02-16,87.32335662841797,88.54054370372415,87.19574830600683,88.18716681089332,8845400
2000-02-17,86.87181854248047,88.22642995026152,86.8325544437042,88.22642995026152,7584200
2000-02-18,85.00677490234375,87.24482856028075,84.57486981046118,87.24482856028075,9409200
2000-02-22,84.79080963134766,85.65461968547575,83.88773548385008,84.92823395814075,16415400
2000-02-23,85.79199981689453,86.36132887746432,84.496285403184,85.20303871975338,12119000
2000-02-24,84.06440734863281,86.08650775893388,83.6128703638083,85.87055528793086,17375000
2000-02-25,83.76011657714844,85.89019337279373,83.63250828985173,84.92822320701843,10559900
2000-02-28,85.51717376708984,85.87055051819353,83.37728121873981,83.78955409502743,13397800
2000-02-29,86.34171295166016,86.34171295166016,85.28158277899311,85.47790318133886,8242500
2000-03-01,86.9699478149414,87.3233245780721,86.2042981614916,86.45951471264154,6868000
2000-03-02,87.02882385253906,87.40183257196118,86.28280641369483,87.12698404186067,7600200
2000-03-03,88.6583023071289,89.03131110780106,87.77486041080012,88.22639738003483,12770300
2000-03-06,87.79449462890625,88.79572880289422,87.16626926483536,88.46198407823157,11967100
2000-03-07,86.09632110595703,88.04970930571595,84.94784663675205,87.95154909467279,20062000
