date,close,regime,regime_prob,returns,vol_21,momentum_63
2000-04-03,95.2606201171875,2,0.9998853583036331,0.0058021596230632,0.0165337399553786,0.0426093725288545
2000-04-04,94.5520248413086,3,1.0,-0.0074662946484298,0.0164484288288766,0.0769698628708484
2000-04-05,93.9615478515625,2,0.9997538454319471,-0.0062645772653103,0.015758616049224,0.0683331968538472
2000-04-06,94.77837371826172,2,0.9999325906818323,0.008655624730626,0.0157366401074082,0.0952219993185052
2000-04-07,95.37866973876952,2,0.9999421892556151,0.0063137079092297,0.0147434628998499,0.0416631150139712
2000-04-10,95.00472259521484,2,0.9999744356822425,-0.0039283639173306,0.0147040851312522,0.0340322066074978
2000-04-11,94.72916412353516,2,0.9999598675511612,-0.0029046858227627,0.0144049982878642,0.0435190806795597
2000-04-12,92.13117980957033,2,0.8835031077740089,-0.0278084871101881,0.0155217115913177,0.0250983093942052
2000-04-13,90.85184478759766,2,0.998349769049511,-0.0139833284621863,0.0152753040637623,-0.0026439523066783
2000-04-14,85.6557846069336,3,0.9999999999943938,-0.0588933402746522,0.0171268479374837,-0.0722814897471552
2000-04-17,88.6474838256836,3,0.9999999999999964,0.0343308886526338,0.0189104500732823,-0.0322656597985575
2000-04-18,90.98959350585938,3,1.0,0.026077494022727,0.019858785108096,-0.0147216897017071
2000-04-19,90.1432876586914,3,1.0,-0.0093446534961863,0.0193478999809024,-0.0087133971417513
2000-04-20,90.57628631591795,3,1.0,0.0047919489435931,0.0193236055347141,-0.0017965453392486
2000-04-24,89.5921859741211,2,0.9362106968410092,-0.0109243322789126,0.0189082858743598,0.0161582901512482
2000-04-25,93.31202697753906,3,0.7761386042975923,0.0406808999896341,0.0211501236411809,0.0464656973995778
2000-04-26,92.25907135009766,2,0.9601341220002341,-0.011348393552713,0.0211656569982767,0.0429233949544494
2000-04-27,91.95397186279295,2,0.9650113556832667,-0.0033124664894192,0.0211490017319816,0.0436434949397632
2000-04-28,91.38319396972656,2,0.9832965071080265,-0.0062265578783512,0.0211627305892246,0.0705605236316002
2000-05-01,92.62322235107422,2,0.9928393651281169,0.0134783034040909,0.0211300564201643,0.0564175154410087
2000-05-02,90.77310180664062,2,0.9367137725857986,-0.0201768854297204,0.0213650074733557,0.0252159014894817
2000-05-03,88.6474838256836,2,0.9407092827720013,-0.0236953572347419,0.0217903468025853,0.0003210372646007
2000-05-04,89.316650390625,2,0.9782723927920888,0.0075202761678534,0.0218965639125484,-0.007085646821942
2000-05-05,90.39913177490234,2,0.9957710244075384,0.0120467380478409,0.022111581619357,0.0091325993709185
2000-05-08,89.72010803222656,2,0.9756868024006099,-0.0075397493366223,0.0220093876687308,0.0030916405944991
2000-05-09,89.00169372558594,2,0.9793451455168755,-0.0080395135798365,0.0219411144291954,-0.0183002844208753
2000-05-10,86.99415588378906,2,0.7527811290286359,-0.0228144575268455,0.0223515826401496,-0.0198557784465366
2000-05-11,88.9820556640625,2,0.9455051533672759,0.0225937850028598,0.0231050381585866,0.000549900889158
2000-05-12,89.94645690917969,2,0.9911987872042317,0.0107798424102484,0.0225597585264191,0.0323603250813711
2000-05-15,91.50133514404295,2,0.9864051639015091,0.0171389938513081,0.0226958975652823,0.044089506098949
2000-05-16,92.38703918457033,2,0.9988603884766478,0.0096331363306353,0.018243277931846,0.0424034647173228
2000-05-17,91.42259979248048,2,0.9994577709363032,-0.01049398984827,0.0170515842535274,0.0469432614862228
2000-05-18,90.30072021484376,2,0.9998430003406715,-0.0123472742032747,0.0163248990961256,0.0394708172327089
2000-05-19,88.88362121582031,2,0.9998539580202852,-0.0158175489386173,0.016562365157397,0.0456063215894297
2000-05-22,88.2144546508789,2,0.9989948524902608,-0.0075570527379875,0.0165779560544891,0.0403775483972441
2000-05-23,86.9154052734375,2,0.9932385419047078,-0.0148355420819926,0.0167133994303986,0.0130945246519564
2000-05-24,88.33252716064453,2,0.9945700792551415,0.0161731183595117,0.0143073198145667,0.0507720204855657
2000-05-25,86.81705474853516,2,0.9989988588654404,-0.0173053251491483,0.014546260591374,0.0364963457109217
2000-05-26,86.9154052734375,2,0.9998193441240469,0.0011322067896366,0.0145721968311216,0.0163503007028249
2000-05-30,89.74966430664062,2,0.9583333416492844,0.0320889946117266,0.0163915230033804,0.039470508963477
2000-05-31,89.94645690917969,2,0.9986166418198298,0.002190283016472,0.0160799791995388,0.0342245703144703
2000-06-01,91.52100372314452,2,0.9990770710001673,0.0173539247641028,0.0159735900681587,0.0516171501779338
2000-06-02,93.11527252197266,2,0.9995074235292173,0.0172697202779237,0.015375240446077,0.0502713237098086
2000-06-05,92.6625518798828,2,0.9980708714031576,-0.0048737952412038,0.0154043583622445,0.055448320211342
2000-06-06,92.24923706054688,2,0.9999550113897121,-0.0044704073226444,0.0152735166537099,0.0714654920855162
2000-06-07,92.8888931274414,2,0.9999675840653262,0.0069100688387695,0.015196519917095,0.0802497456893627
2000-06-08,92.52476501464844,2,0.9997836328074021,-0.0039277428056114,0.0150915218654931,0.0454632405723742
2000-06-09,92.32798767089844,2,0.9999904521392045,-0.002129017991014,0.0140396927051323,0.0488227754510788
2000-06-12,91.24543762207033,2,0.9999847255439717,-0.0117943280318226,0.013618850540829,0.0479779120377346
2000-06-13,92.95779418945312,2,0.9998407744622745,0.0185925716728641,0.0139952566604809,0.0830290021911841
2000-06-14,93.11527252197266,2,0.9999650913879892,0.0016926508806628,0.0135343024710129,0.0601310188260735
2000-06-15,93.31202697753906,2,0.9999695744758869,0.0021107909533302,0.0133884963316052,0.0149584161110807
2000-06-16,92.54539489746094,2,0.9999452489377727,-0.0082497262718041,0.013305265236252,9.563071506679677e-06
2000-06-19,93.72906494140624,2,0.9999101138176603,0.0127090528366314,0.013211058991807,0.0179960719511422
2000-06-20,93.3936767578125,2,0.9819421594568998,-0.0035846903448832,0.0126545611306562,-0.0060436540982392
2000-06-21,93.3542709350586,2,0.9832943273774892,-0.0004220214875246,0.0124695017753231,-0.0124621646959165
2000-06-22,91.93378448486328,2,0.9998233564164443,-0.015333036733561,0.012504898246457,-0.0438130813474376
2000-06-23,91.14459991455078,2,0.9999217214297079,-0.0086213286299095,0.0123358916385495,-0.057616363998081
2000-06-26,92.31849670410156,2,0.9995780085245681,0.0127972636665936,0.0117787597527839,-0.0352692389535527
2000-06-27,91.63787841796876,2,0.999847295054714,-0.0073998130416463,0.0119889911808275,-0.0368354415458475
2000-06-28,91.89434051513672,2,0.9990102799411604,0.0027947383362428,0.0098984196824338,-0.0351383619010876
2000-06-29,91.02626037597656,2,0.9997936093879191,-0.0094914039402654,0.0101603108148986,-0.0279820886606896
2000-06-30,91.71675872802734,2,0.9994154777865171,0.0075570781482889,0.0095581195161115,-0.0315991990825667
2000-07-03,92.97935485839844,2,0.9980435584964872,0.0136723591443457,0.0092627180705462,-0.0239476213358962
2000-07-05,91.30248260498048,2,0.9855427628280962,-0.0181994987781693,0.0100327389855809,-0.0343677699317596
2000-07-06,92.01268005371094,2,0.9935394216657539,0.0077484152610093,0.0101569381832876,-0.0207411206223456
2000-07-07,93.49234008789062,2,0.9952018008285551,0.0159531145223996,0.0106497368307364,-0.0135688509933074
2000-07-10,93.33448028564452,2,0.9946245752478279,-0.0016899055445918,0.0106163740174836,-0.0214323544113561
2000-07-11,93.5317611694336,2,0.9991196784712335,0.0021114670637945,0.0106058906917589,-0.0155040863816535
2000-07-12,94.14334106445312,2,0.958771627758138,0.0065174554598858,0.0102822921581405,-0.00618418904571
2000-07-13,94.5576400756836,2,0.9261389383146783,0.0043910707238437,0.0095414670447869,0.0263370150162911
2000-07-14,95.48490142822266,2,0.8351043450414237,0.0097585383115706,0.0097389670922893,0.0509957354356052
2000-07-17,95.32706451416016,1,0.8871018739944794,-0.0016543716142981,0.0097559399822463,0.112908660537139
2000-07-18,94.54776000976562,2,0.6073587198915523,-0.0082086593867726,0.0097539934473528,0.0665588681082514
2000-07-19,93.78827667236328,2,0.9155407857131986,-0.0080652377281307,0.0095606911292672,0.0307582774982249
2000-07-20,95.0903091430664,2,0.9462878900204706,0.0137871965733706,0.0099748625017667,0.0548795324961506
2000-07-21,93.23580932617188,2,0.9825508199204713,-0.019695194467913,0.0109385508229626,0.0293622438987823
2000-07-24,92.70319366455078,2,0.9165075074605237,-0.0057289445441036,0.0104583119339759,0.0347240962658095
2000-07-25,92.99909210205078,2,0.5523119264210749,0.0031868071704207,0.0102648475693074,-0.0033536392427055
2000-07-26,92.09166717529295,0,0.8520626510414553,-0.0098052674322842,0.0101458045695371,-0.0018145009737789
2000-07-27,91.77597045898438,2,0.999509545007159,-0.003433959674439,0.0100398258577165,-0.0019357663426891
2000-07-28,89.7044677734375,2,0.9992234774859898,-0.0228299278773699,0.0111842839250394,-0.0183701851879372
2000-07-31,90.2765655517578,2,0.9890367707599509,0.0063573332651743,0.0111277515956693,-0.0253355124098552
2000-08-01,90.8290023803711,2,0.8439917393007429,0.0061007350392083,0.0110801592738162,0.0006158275151766
2000-08-02,91.2827606201172,0,0.828748052910156,0.004983304442246,0.0106809511441688,0.0297275983559286
2000-08-03,91.9140396118164,0,0.9414099150616366,0.0068918397000031,0.0100298478652045,0.0290806832749745
2000-08-04,92.40729522705078,2,0.9941835028989808,0.0053521399801473,0.009954432488591,0.0222144108324939
2000-08-07,93.51203155517578,2,0.9628284106565081,0.0118841795458648,0.0096680307889693,0.0422639206094936
2000-08-08,93.8671875,1,0.9550649915726461,0.0037907765003374,0.0096937874206088,0.0546674290201214
2000-08-09,93.07804107666016,2,0.9775565778473377,-0.0084425916264172,0.0098656620046155,0.0699344126173053
2000-08-10,92.62430572509766,2,0.8007423049088533,-0.00488670458188,0.0097891618363338,0.0409324108535533
2000-08-11,93.05831909179688,2,0.9672187777168021,0.004674795582271,0.0097968406212019,0.0345968289307858
2000-08-14,94.2419891357422,2,0.9826735293987586,0.012639443183593,0.0099701512070984,0.029952065588823
2000-08-15,94.16304779052734,2,0.6100988041849317,-0.0008379961716775,0.0099675236703422,0.0192235688212598
2000-08-16,93.82769012451172,1,0.6477753114551925,-0.0035678143027036,0.0098406869189152,0.026307393767958
2000-08-17,94.81409454345705,2,0.6617950861091578,0.0104580584943107,0.009945485146451,0.0499815983513203
2000-08-18,94.49847412109376,1,0.6220894602950402,-0.0033343873258458,0.009494903074869,0.0631708387717451
2000-08-21,95.01141357421876,1,0.9839795267366003,0.0054133397678731,0.008453922414582,0.0770503989424384
2000-08-22,94.85359191894533,1,0.98960686926595,-0.0016624621394785,0.0083403400462144,0.09133233194431
2000-08-23,95.22838592529295,1,0.9791232110174776,0.0039435037062098,0.0083514701032043,0.0780670381150465
2000-08-24,95.52433013916016,1,0.9996288192069951,0.0031029120572483,0.0079729864071819,0.1002945264135664
2000-08-25,95.48490142822266,1,0.9997721600218529,-0.000412846134964,0.0079018486638642,0.0985958257667367
2000-08-28,95.81035614013672,1,0.999996263510043,0.0034026460463324,0.0055109407672195,0.0675288523953583
2000-08-29,95.83010864257812,1,0.999999938669012,0.0002061412503224,0.0054945940821482,0.0654128237573521
2000-08-30,94.91275024414062,1,0.9262623905135895,-0.0096188709429946,0.0060692822906116,0.0370597609621536
2000-08-31,96.17534637451172,0,0.9997768830683158,0.0132149990213131,0.0065146809055602,0.0328632862221067
2000-09-01,96.27400207519533,0,0.7832927730903381,0.001025264155169,0.0064416908931733,0.0389742147398877
2000-09-05,95.5045928955078,0,0.9931331998704999,-0.008023974812709,0.0067681806954285,0.0352887019848662
